DateOfAssignment_en,CodeFigureForrara,CodeFigureForBUFR,RadiosondeSoundingSystemUsed_en,Status
Antes,80,80,Vaisala RS92/Digicora III (Finlandia),
Antes,81,81,Vaisala RS92/Autosonda (Finlandia),
Antes,82,82,"Sippican MK2 GPS/STAR (Estados Unidos) con termistor de varilla, elemento de carbón y presión derivada",
Antes,83,83,"Sippican MK2 GPS/W9000 (Estados Unidos) con termistor de varilla, elemento de carbón y presión derivada",
Antes,84,84,"Sippican MARK II con termistor de chip, elemento de carbón y presión derivada de la altura del GPS",
Antes,85,85,"Sippican MARK IIA con termistor de chip, elemento de carbón y presión derivada de la altura del GPS",
Antes,86,86,"Sippican MARK II con termistor de chip, presión y elemento de carbón",
Antes,87,87,"Sippican MARK IIA con termistor de chip, presión y elemento de carbón",
Antes,88,88,MARL-A o Vektor-M-MRZ (Federación de Rusia),
Antes,89,89,MARL-A o Vektor-M-BAR (Federación de Rusia),
Sin aplicación,90,90,Radiosonda no especificada o desconocida,
Sin aplicación,91,91,Radiosonda para la medición de la presión únicamente,
Sin aplicación,92,92,"Radiosonda para la medición de la presión únicamente, equipada con un transpondedor",
Sin aplicación,93,93,"Radiosonda para la medición de la presión únicamente, equipada con un radar reflector",
Sin aplicación,94,94,Radiosonda que no mide la presión equipada con un transpondedor,
Sin aplicación,95,95,Radiosonda que no mide la presión equipada con un radar reflector,
Sin aplicación,96,96,Radiosonda descendente,
Antes,97,97,Sistema de radiogoniometría (RDF) por radiosonda iMet-2/ iMet-1500 con chip sensor de presión (Sudáfrica),
Antes,98,98,Radiosonda GPS iMet-2/iMet-1500 con presión derivada de la altura del GPS (Sudáfrica),
Antes,99,99,Radiosonda GPS iMet-2/iMet-3200 con presión derivada de la altura del GPS (Sudáfrica),
,No disponible,100,Reservada solo para BUFR,
,1,101,No vacante,
,No disponible,102–106,Reservadas solo para BUFR,
,7,107,No vacante,
,No disponible,108–109,Reservadas solo para BUFR,
39448,10,110,"Sippican LMS5 con termistor de chip, sensor de humedad relativa instalado en un conducto y presión derivada de la altura del GPS",
39448,11,111,"Sippican LMS6 con termistor de chip, sensor de humedad relativa fijado a un brazo externo y presión derivada de la altura del GPS",
42130,12,112,RSG-20A Jin Yang con presión derivada de la altura del GPS/GL- 5000P (República de Corea),
40436,13,113,Vaisala RS92/MARWIN MW32 (Finlandia),
40850,14,114,Vaisala RS92 / DigiCORA MW41 (Finlandia),
40878,15,115,PAZA-12M/Radioteodolito-UL (Ucrania),
40878,16,116,PAZA-22/AVK-1 (Ucrania),
41031,17,117,Graw DFM-09 (Alemania),
,18,118,No vacante,
43593,19,119,Polus-MRZ-N1 (Federación de Rusia),
,20,120,No vacante,
42130,21,121,1524LA LORAN-C/GL5000 Jin Yang (República de Corea),
41031,22,122,"Radiosonda GPS Meisei RS-11G con termistor, sensor capacitivo de humedad relativa, y presión obtenida a partir de la altura mediante GPS (Japón)",
40850,23,123,Vaisala RS41/DigiCORA MW41 (Finlandia),
40850,24,124,Vaisala RS41/AUTOSONDE (Finlandia),
40850,25,125,Vaisala RS41/MARWIN MW32 (Finlandia),
41766,26,126,Meteolabor SRS–C34/Argus 37 (Suiza),
,27,127,No vacante,
40801,28,128,AVK–AK2-02 (Federación de Rusia),
40801,29,129,MARL–A o Vektor–M-AK2-02 (Federación de Rusia),
40179,30,130,Meisei RS-06G (Japón),
40850,31,131,Taiyuan GTS1-1/GFE(L) (China),
40850,32,132,Shanghai GTS1/GFE(L) (China),
40850,33,133,Nanjing GTS1-2/GFE(L) (China),
Necesaria,34,134,Vacante,
41766,35,135,"Radiosonda Meisei iMS-100 GPS con sensor de termistor, sensor de humedad relativa por capacitancia, y presión obtenida a partir de la altura mediante GPS (Japón)",
43222,36,136,"Radiosonda GPS Meisei iMDS-17 con paracaídas y con sensor de termistor, sensor capacitivo de humedad relativa y sensor de presión capacitivo (Japón)",
,37,137,No vacante,
Necesaria,38–40,138–140,Vacante,
40850,41,141,Vaisala RS41 con presión obtenida de la altura mediante GPS/DigiCORA MW41 (Finlandia),
40850,42,142,Vaisala RS41 con presión obtenida de la altura mediante GPS/AUTOSONDE (Finlandia),
41766,43,143,NanJing Daqiao XGP-3G (China)0F*,
41766,44,144,TianJin HuaYunTianYi GTS(U)1 (China)*,
41766,45,145,Beijing Changfeng CF-06 (China)*,
41766,46,146,Shanghai Changwang GTS3 (China)*,
,47,147,No vacante,
41031,48,148,PAZA-22M/MARL-A,
,49,149,No vacante,
42676,50,150,Meteolabor SRS-C50/Argus (Suiza),
,51,151,No vacante,
40850,52,152,Vaisala RS92-NGP/Intermet IMS-2000 (Estados Unidos),
42130,53,153,AVK – I-2012 (Federación de Rusia),
43593,54,154,Graw DFM-17 (Alemania),
,55–59,15–159,No vacante,
42130,60,160,MARL-A o Vektor-M – I-2012 (Federación de Rusia),
,61,161,No vacante,
42130,62,162,MARL-A o Vektor-M – MRZ-3MK (Federación de Rusia),
43411,63,163,"Radiosonda Modem M20 con sensor de termistor, sensor de humedad relativa por capacitancia y presión obtenida a partir de la altura mediante GPS (Francia)",
43411,64,164,Radiosonda por GPS Modem PilotSonde (Francia),
Necesarias,65–66,165–166,Vacante,
,67–72,167–172,No vacante,
42676,73,173,MARL-A (Federación de Rusia) – ASPAN-15 (Kazajstán),
,74–76,174–176,No vacante,
40252,77,177,Módem GPSonde M10 (Francia),
,78–81,178–181,No vacante,
41220,82,182,"Lockheed Martin LMS-6 con termistor de chip; sensor capacitivo de HR, de polímero, sobre soporte móvil externo; sensor capacitivo de presión y sensor de viento mediante GPS",
41220,83,183,"Sensor de presión capacitivo con silicio Vaisala RS92-D/Intermet IMS 1500, sensor de temperatura capacitivo de hilo conductor, sensor de HR capacitivo de polímero calen- tado y película fina doble y sensor de viento mediante RDF",
43775,84,184,Radiosonda GPS iMet-54/iMet-3200/3400 con presión derivada de la altura del GPS (Sudáfrica),
,85–89,185–189,No vacante,
,No disponible,190,"Sonda con paracaídas para investigación NRD94 con GPS y módulo sensor basado en la RS92 de Vaisala, del NCAR (Estados Unidos)",
,No disponible,191,"Sonda con paracaídas para investigación NRD41 con GPS y módulo sensor basado en la RS41 de Vaisala, del NCAR (Estados Unidos)",
,No disponible,192,"Sonda con paracaídas con GPS y módulo sensor basado en la RS41 de Vaisala, de Vaisala/NCAR (Finlandia/ Estados Unidos)",
,No disponible,193,"Sonda con paracaídas con GPS y módulo sensor basado en la RS41 de Vaisala, de Vaisala/NCAR (Finlandia/ Estados Unidos)",
,No disponible,194–196,Reservadas solo para BUFR,
,97–99,197–199,No vacante,
44151,No disponible,200,Nanjing GTS11 (China),
44151,No disponible,201,Shanghai GTS12 (China),
44151,No disponible,202,Taiyuan GTS13 (China),
,No disponible,203–254,Reservadas solo para BUFR,
,,255,Valor faltante,
